pair_idx,region_code,region_name,g1_abs,g1_norm,g2_abs,g2_norm,norm_delta_xyxy,max_delta,status
1,A_bottom_hand,Bottom Hand Region,"[64, 384, 1216, 580]","[0.05, 0.6486, 0.95, 0.9797]","[48, 291, 912, 439]","[0.05, 0.6496, 0.95, 0.9799]","[0.0, 0.001, 0.0, 0.0002]",0.001,PASS
1,B_center_play,Center Play Area,"[192, 165, 1088, 384]","[0.15, 0.2787, 0.85, 0.6486]","[144, 125, 816, 291]","[0.15, 0.279, 0.85, 0.6496]","[0.0, 0.0003, 0.0, 0.001]",0.001,PASS
1,C_top_landlord,Top Landlord Cards,"[448, 5, 832, 94]","[0.35, 0.0084, 0.65, 0.1588]","[336, 4, 624, 71]","[0.35, 0.0089, 0.65, 0.1585]","[0.0, 0.0005, 0.0, 0.0003]",0.0005,PASS
1,D_left_player,Left Player Area,"[33, 106, 281, 343]","[0.0258, 0.1791, 0.2195, 0.5794]","[27, 80, 211, 259]","[0.0281, 0.1786, 0.2198, 0.5781]","[0.0023, 0.0005, 0.0003, 0.0013]",0.0023,PASS
1,E_right_player,Right Player Area,"[998, 106, 1267, 343]","[0.7797, 0.1791, 0.9898, 0.5794]","[748, 80, 950, 259]","[0.7792, 0.1786, 0.9896, 0.5781]","[0.0005, 0.0005, 0.0002, 0.0013]",0.0013,PASS
1,F_action_buttons,Action Button Region,"[256, 307, 1024, 426]","[0.2, 0.5186, 0.8, 0.7196]","[192, 232, 768, 322]","[0.2, 0.5179, 0.8, 0.7188]","[0.0, 0.0007, 0.0, 0.0008]",0.0008,PASS
2,A_bottom_hand,Bottom Hand Region,"[64, 384, 1216, 580]","[0.05, 0.6486, 0.95, 0.9797]","[48, 291, 912, 439]","[0.05, 0.6496, 0.95, 0.9799]","[0.0, 0.001, 0.0, 0.0002]",0.001,PASS
2,B_center_play,Center Play Area,"[192, 165, 1088, 384]","[0.15, 0.2787, 0.85, 0.6486]","[144, 125, 816, 291]","[0.15, 0.279, 0.85, 0.6496]","[0.0, 0.0003, 0.0, 0.001]",0.001,PASS
2,C_top_landlord,Top Landlord Cards,"[448, 5, 832, 94]","[0.35, 0.0084, 0.65, 0.1588]","[336, 4, 624, 71]","[0.35, 0.0089, 0.65, 0.1585]","[0.0, 0.0005, 0.0, 0.0003]",0.0005,PASS
2,D_left_player,Left Player Area,"[35, 106, 281, 343]","[0.0273, 0.1791, 0.2195, 0.5794]","[35, 80, 211, 259]","[0.0365, 0.1786, 0.2198, 0.5781]","[0.0092, 0.0005, 0.0003, 0.0013]",0.0092,PASS
